model,accuracy,precision,recall,f1,train_s
NB (A: with artifacts),0.9776424002436795,0.9872846108140226,0.9696545284780579,0.9783901548607431,0.03
NB (B: artifacts removed),0.9773987206823028,0.986931210645123,0.9695378151260504,0.97815719752723,0.02
LogReg (A),0.9877551020408163,0.9839213418160787,0.9927637721755369,0.9883227792947191,1.45
LogReg (B),0.9863539445628998,0.9833178869323448,0.9906629318394025,0.9869767441860465,1.29
LinearSVC (A),0.9928114529393847,0.9909365558912386,0.9953314659197012,0.993129148713171,0.34
LinearSVC (B),0.9920194943649101,0.9905803000348877,0.9941643323996265,0.9923690802120347,0.31
LinearSVC (C: word+char n-grams),0.994760889430399,0.9940587138863001,0.9959150326797386,0.9949860074626866,3.02
LogReg C=1.0 (n-grams),0.9914102954614682,0.9895433949111189,0.9940476190476191,0.9917903930131005,20.79
LogReg C=5.0 (n-grams),0.9934206518428267,0.9920893438808748,0.9953314659197012,0.9937077604288045,25.36
LogReg C=20.0 (n-grams),0.9940907706366129,0.9931307486319711,0.9955648926237162,0.9943463309436381,31.07
SGD modified_huber (n-grams),0.9949436491014316,0.9937158151984173,0.9966153127917834,0.9951634520132859,1.18
